drugbank_id	category	mesh_id
DB00297	Anesthetics, Local		
DB00298	Antimydriatic Agents		
DB00298	Ophthalmics		
DB00299	Antiviral Agents		
DB00300	Anti-HIV Agents		
DB00300	Reverse Transcriptase Inhibitors		
DB00301	Anti-Bacterial Agents		
DB00301	Penicillins		
DB00302	Antifibrinolytic Agents		
DB00303	Anti-Bacterial Agents		
DB00304	Contraceptives, Oral, Synthetic		
DB00304	Progestins		
DB00305	Nucleic Acid Synthesis Inhibitors		
DB00305	Antibiotics, Antineoplastic		
DB00305	Alkylating Agents		
DB00305	Cross-Linking Reagents		
DB00308	Anti-Arrhythmia Agents		
DB00309	Antineoplastic Agents, Phytogenic		
DB00309	Tubulin Modulators		
DB00310	Antihypertensive Agents		
DB00310	Diuretics		
DB00310	Sodium Chloride Symporter Inhibitors		
DB00311	Diuretics		
DB00311	Carbonic Anhydrase Inhibitors		
DB00312	Hypnotics and Sedatives		
DB00312	Adjuvants, Anesthesia		
DB00312	GABA Modulators		
DB00312	Barbiturates		
DB00313	Enzyme Inhibitors		
DB00313	Anticonvulsants		
DB00313	Antimanic Agents		
DB00313	GABA Agents		
DB00315	Serotonin Antagonists		
DB00315	Serotonin 5-HT1 Receptor Agonists		
DB00315	Serotonin Receptor Agonists		
DB00315	Anti-migraine Agents		
DB00316	Analgesics, Non-Narcotic		
DB00316	Antipyretics		
DB00318	Analgesics, Opioid		
DB00318	Narcotics		
DB00318	Antitussive Agents		
DB00319	Anti-Bacterial Agents		
DB00319	Penicillins		
DB00320	Vasoconstrictor Agents		
DB00320	Dopamine Agonists		
DB00320	Analgesics, Non-Narcotic		
DB00320	Anti-migraine Agents		
DB00321	Adrenergic Uptake Inhibitors		
DB00321	Analgesics, Non-Narcotic		
DB00321	Antidepressive Agents, Tricyclic		
DB00322	Antineoplastic Agents		
DB00322	Antimetabolites, Antineoplastic		
DB00323	Antidyskinetics		
DB00324	Anti-Allergic Agents		
DB00324	Anti-Inflammatory Agents		
DB00324	Glucocorticoids		
DB00326	Antihypermagnesemic Agents		
DB00326	Antihypocalcemic Agents		
DB00326	Electrolyte replenisher		
DB00326	Supplements		
DB00327	Analgesics, Opioid		
DB00327	Narcotics		
DB00328	Gout Suppressants		
DB00328	Anti-Inflammatory Agents, Non-Steroidal		
DB00328	Cyclooxygenase Inhibitors		
DB00328	Cardiovascular Agents		
DB00328	Tocolytic Agents		
DB00330	Antitubercular Agents		
DB00331	Antidiabetic Agents		
DB00332	Bronchodilator Agents		
DB00332	Muscarinic Antagonists		
DB00332	Cholinergic Antagonists		
DB00332	Antispasmodics		
DB00333	Analgesics, Opioid		
DB00333	Narcotics		
DB00333	Antitussive Agents		
DB00334	Antipsychotic Agents		
DB00335	Antihypertensive Agents		
DB00335	Adrenergic beta-1 Receptor Antagonists		
DB00335	Sympatholytics		
DB00335	Anti-Arrhythmia Agents		
DB00336	Anti-Infective Agents		
DB00337	Anti-Inflammatory Agents, Non-Steroidal		
DB00337	Dermatologic Agents		
DB00337	Immunosuppressive Agents		
DB00338	Enzyme Inhibitors		
DB00338	Anti-Ulcer Agents		
DB00338	Proton Pump Inhibitors		
DB00339	Antitubercular Agents		
DB00341	Anti-Allergic Agents		
DB00341	Histamine H1 Antagonists, Non-Sedating		
DB00341	Histamine Antagonists		
DB00342	Anti-Arrhythmia Agents		
DB00342	Histamine H1 Antagonists, Non-Sedating		
DB00342	Histamine Antagonists		
DB00344	Adrenergic Uptake Inhibitors		
DB00344	Antidepressive Agents, Tricyclic		
DB00345	Indicators and Reagents		
DB00345	Diagnostic Agents		
DB00346	Antihypertensive Agents		
DB00346	Adrenergic alpha-1 Receptor Antagonists		
DB00347	Anticonvulsants		
DB00349	Anticonvulsants		
DB00349	Benzodiazepines		
DB00350	Antihypertensive Agents		
DB00350	Vasodilator Agents		
DB00351	Antineoplastic Agents, Hormonal		
DB00351	Appetite Stimulants		
DB00352	Antimetabolites, Antineoplastic		
DB00353	Oxytocics		
DB00354	Cholinergic Antagonists		
DB00354	Histamine Antagonists		
DB00355	Anti-Bacterial Agents		
DB00356	Muscle Relaxants, Central		
DB00357	Antineoplastic Agents, Hormonal		
DB00357	Aromatase Inhibitors		
DB00358	Antimalarials		
DB00359	Antiprotozoal Agents		
DB00359	Anti-Infective Agents		
DB00359	Coccidiostats		
DB00360	Dietary Supplements		
DB00360	Supplements		
DB00361	Antineoplastic Agents, Phytogenic		
DB00362	Antifungal Agents		
DB00363	Antipsychotic Agents		
DB00363	Serotonin Antagonists		
DB00363	GABA Antagonists		
DB00365	Anti-Infective Agents		
DB00365	Quinolones		
DB00365	Antibiotics		
DB00366	Histamine H1 Antagonists		
DB00366	Antiemetics		
DB00367	Contraceptives, Oral, Synthetic		
DB00367	Contraceptive Agents, Female		
DB00367	Contraceptive Agents		
DB00368	Vasoconstrictor Agents		
DB00368	Sympathomimetics		
DB00368	Adrenergic alpha-Agonists		
DB00369	Antineoplastic Agents		
DB00369	Antiviral Agents		
DB00369	Anti-HIV Agents		
DB00369	Radiation-Sensitizing Agents		
DB00370	Histamine H1 Antagonists		
DB00370	Antidepressive Agents, Tricyclic		
DB00370	Adrenergic alpha-Antagonists		
DB00371	Anti-Anxiety Agents		
DB00371	Hypnotics and Sedatives		
DB00371	Anticonvulsants		
DB00371	Muscle Relaxants, Central		
DB00372	Antiemetics		
DB00372	Dopamine Antagonists		
DB00373	Antihypertensive Agents		
DB00373	Anti-Arrhythmia Agents		
DB00373	Adrenergic beta-Antagonists		
DB00374	Antithrombins		
DB00374	Anticoagulants		
DB00375	Anion Exchange Resins		
DB00375	Hypolipidemic Agents		
DB00376	Antiparkinson Agents		
DB00376	Muscarinic Antagonists		
DB00376	Antidyskinetics		
DB00378	Progestins		
DB00378	Progesterones		
DB00379	Anti-Arrhythmia Agents		
DB00379	Voltage-Gated Sodium Channel Blockers		
DB00380	Antineoplastic Agents		
DB00380	Chelating Agents		
DB00380	Cardiovascular Agents		
DB00381	Antihypertensive Agents		
DB00381	Vasodilator Agents		
DB00381	Calcium Channel Blockers		
DB00381	Antianginal Agents		
DB00382	Nootropic Agents		
DB00382	Cholinesterase Inhibitors		
DB00382	Parasympathomimetics		
DB00383	Cholinergic Antagonists		
DB00383	Antispasmodics		
DB00384	Diuretics		
DB00384	Epithelial Sodium Channel Blockers		
DB00387	Antiparkinson Agents		
DB00387	Muscarinic Antagonists		
DB00387	Antidyskinetics		
DB00388	Vasoconstrictor Agents		
DB00388	Sympathomimetics		
DB00388	Adrenergic alpha-1 Receptor Agonists		
DB00388	Cardiotonic Agents		
DB00388	Mydriatics		
DB00388	Nasal Decongestants		
DB00389	Antithyroid Agents		
DB00390	Enzyme Inhibitors		
DB00390	Anti-Arrhythmia Agents		
DB00390	Cardiotonic Agents		
DB00391	Antidepressive Agents, Second-Generation		
DB00391	Antipsychotic Agents		
DB00391	Dopamine Antagonists		
DB00391	Antidepressive Agents		
DB00392	Muscarinic Antagonists		
DB00392	Histamine Antagonists		
DB00392	Adrenergic Antagonists		
DB00392	Antidyskinetics		
DB00393	Antihypertensive Agents		
DB00393	Vasodilator Agents		
DB00393	Calcium Channel Blockers		
DB00394	Anti-Arrhythmia Agents		
DB00394	Corticosteroids		
DB00395	Muscle Relaxants, Central		
DB00395	Neuromuscular Agents		
