drugbank_id	smpdb-id	name	drugs (placeholder)enzymes (placeholder to uniprot_id	
DB00001	SMP00278	Lepirudin Action Pathway	
DB00116	SMP00004	Glycine and Serine Metabolism	
DB00116	SMP00430	Thioguanine Action Pathway	
DB00116	SMP00537	Myoadenylate deaminase deficiency	
DB00116	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00116	SMP00428	Mercaptopurine Action Pathway	
DB00116	SMP00512	Xanthinuria type I	
DB00116	SMP00365	Gout or Kelley-Seegmiller Syndrome	
DB00116	SMP00203	Molybdenum Cofactor Deficiency	
DB00116	SMP00210	Purine Nucleoside Phosphorylase Deficiency	
DB00116	SMP00244	Sarcosinemia	
DB00116	SMP00485	Hyperglycinemia, non-ketotic	
DB00116	SMP00536	Mitochondrial DNA depletion syndrome	
DB00116	SMP00050	Purine Metabolism	
DB00116	SMP00167	Adenylosuccinate Lyase Deficiency	
DB00116	SMP00223	Non Ketotic Hyperglycinemia	
DB00116	SMP00427	Azathioprine Action Pathway	
DB00116	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00116	SMP00513	Xanthinuria type II	
DB00116	SMP00535	Adenine phosphoribosyltransferase deficiency (APRT)	
DB00116	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00116	SMP00364	Lesch-Nyhan Syndrome (LNS)	
DB00116	SMP00220	Xanthine Dehydrogenase Deficiency (Xanthinuria)	
DB00116	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00117	SMP00715	Methylhistidine Metabolism	
DB00117	SMP00493	Carnosinuria, carnosinemia	
DB00117	SMP00351	GABA-Transaminase Deficiency	
DB00117	SMP00492	Ureidopropionase deficiency	
DB00117	SMP00044	Histidine Metabolism	
DB00117	SMP00191	Histidinemia	
DB00117	SMP00007	Beta-Alanine Metabolism	
DB00117	SMP00249	Clindamycin Action Pathway	
DB00117	SMP00256	Neomycin Action Pathway	
DB00117	SMP00291	Doxycycline Action Pathway	
DB00117	SMP00293	Oxytetracycline Action Pathway	
DB00117	SMP00711	Tobramycin Action Pathway	
DB00117	SMP00713	Arbekacin Action Pathway	
DB00117	SMP00726	Rolitetracycline Action Pathway	
DB00117	SMP00731	Josamycin Action Pathway	
DB00117	SMP00251	Roxithromycin Action Pathway	
DB00117	SMP00253	Amikacin Action Pathway	
DB00117	SMP00258	Spectinomycin Action Pathway	
DB00117	SMP00295	Lymecycline Action Pathway	
DB00117	SMP00728	Lincomycin Action Pathway	
DB00117	SMP00262	Clomocycline Action Pathway	
DB00117	SMP00248	Clarithromycin Action Pathway	
DB00117	SMP00255	Kanamycin Action Pathway	
DB00117	SMP00290	Demeclocycline Action Pathway	
DB00117	SMP00292	Minocycline Action Pathway	
DB00117	SMP00730	Troleandomycin Action Pathway	
DB00117	SMP00250	Erythromycin Action Pathway	
DB00117	SMP00252	Telithromycin Action Pathway	
DB00117	SMP00257	Netilmicin Action Pathway	
DB00117	SMP00294	Tetracycline Action Pathway	
DB00117	SMP00712	Tigecycline Action Pathway	
DB00117	SMP00714	Paromomycin Action Pathway	
DB00117	SMP00727	Methacycline Action Pathway	
DB00117	SMP00247	Azithromycin Action Pathway	
DB00117	SMP00254	Gentamicin Action Pathway	
DB00117	SMP00259	Streptomycin Action Pathway	
DB00117	SMP00729	Chloramphenicol Action Pathway	
DB00117	SMP00009	Ammonia Recycling	
DB00118	SMP00715	Methylhistidine Metabolism	
DB00118	SMP00065	Ubiquinone Biosynthesis	
DB00118	SMP00170	Aromatic L-Aminoacid Decarboxylase Deficiency	
DB00118	SMP00012	Catecholamine Biosynthesis	
DB00118	SMP00497	Tyrosine hydroxylase deficiency	
DB00118	SMP00327	Phenytoin (Antiarrhythmic) Action Pathway	
DB00118	SMP00465	Carnitine Synthesis	
DB00118	SMP00123	Betaine Metabolism	
DB00118	SMP00044	Histidine Metabolism	
DB00118	SMP00191	Histidinemia	
DB00118	SMP00048	Nicotinate and Nicotinamide Metabolism	
DB00118	SMP00445	Spermidine and Spermine Biosynthesis	
DB00118	SMP00609	Mercaptopurine Metabolism Pathway	
DB00118	SMP00361	Hyperprolinemia Type I	
DB00118	SMP00341	Hypermethioninemia	
DB00118	SMP00063	Tryptophan Metabolism	
DB00118	SMP00218	Tyrosinemia Type I	
DB00118	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB00118	SMP00207	Prolidase Deficiency (PD)	
DB00118	SMP00188	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	
DB00118	SMP00222	Glycine N-methyltransferase Deficiency	
DB00118	SMP00494	Tyrosinemia, transient, of the newborn	
DB00118	SMP00506	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	
DB00118	SMP00033	Methionine Metabolism	
DB00118	SMP00208	Prolinemia Type II	
DB00118	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB00118	SMP00498	Dopamine beta-hydroxylase deficiency	
DB00118	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB00118	SMP00533	Monoamine oxidase-a deficiency (MAO-A)	
DB00118	SMP00360	Hyperprolinemia Type II	
DB00118	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB00118	SMP00221	Methionine Adenosyltransferase Deficiency	
DB00118	SMP00190	Hawkinsinuria	
DB00118	SMP00169	Alkaptonuria	
DB00118	SMP00507	L-arginine:glycine amidinotransferase deficiency	
DB00118	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB00118	SMP00020	Arginine and Proline Metabolism	
DB00118	SMP00362	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	
DB00118	SMP00363	Ornithine Aminotransferase Deficiency (OAT Deficiency)	
DB00118	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00118	SMP00006	Tyrosine Metabolism	
DB00118	SMP00244	Sarcosinemia	
DB00118	SMP00485	Hyperglycinemia, non-ketotic	
DB00118	SMP00004	Glycine and Serine Metabolism	
DB00118	SMP00430	Thioguanine Action Pathway	
DB00118	SMP00429	Disulfiram Action Pathway	
DB00118	SMP00223	Non Ketotic Hyperglycinemia	
DB00118	SMP00427	Azathioprine Action Pathway	
DB00118	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00118	SMP00428	Mercaptopurine Action Pathway	
DB00118	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00118	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00118	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00119	SMP00466	Transfer of Acetyl Groups into Mitochondria	
DB00119	SMP00459	Pyruvaldehyde Degradation	
DB00119	SMP00127	Glucose-Alanine Cycle	
DB00119	SMP00057	Citric Acid Cycle	
DB00119	SMP00548	Mitochondrial complex II deficiency	
DB00119	SMP00560	Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1)	
DB00119	SMP00572	Fanconi-bickel syndrome	
DB00119	SMP00574	Glycogenosis, Type IC	
DB00119	SMP00128	Gluconeogenesis	
DB00119	SMP00549	2-ketoglutarate dehydrogenase complex deficiency	
DB00119	SMP00573	Glycogenosis, Type IB	
DB00119	SMP00547	Fumarase deficiency	
DB00119	SMP00040	Glycolysis	
DB00119	SMP00531	Glycogenosis, Type VII. Tarui disease	
DB00119	SMP00550	Pyruvate dehydrogenase deficiency (E3)	
DB00119	SMP00562	Fructose-1,6-diphosphatase deficiency	
DB00119	SMP00581	Glycogenosis, Type IA. Von gierke disease	
DB00119	SMP00374	Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease	
DB00119	SMP00546	Congenital lactic acidosis	
DB00119	SMP00551	Pyruvate dehydrogenase deficiency (E2)	
DB00119	SMP00563	Triosephosphate isomerase	
DB00119	SMP00722	Cystinosis, ocular nonnephropathic	
DB00119	SMP00055	Alanine Metabolism	
DB00119	SMP00013	Cysteine Metabolism	
DB00119	SMP00313	Lactic Acidemia	
DB00119	SMP00390	Tay-Sachs Disease	
DB00119	SMP00217	Sialuria or French Type Sialuria	
DB00119	SMP00240	Salla Disease/Infantile Sialic Acid Storage Disease	
DB00119	SMP00352	Primary Hyperoxaluria Type I	
DB00119	SMP00499	Beta-mercaptolactate-cysteine disulfiduria	
DB00119	SMP00534	G(M2)-Gangliosidosis: Variant B, Tay-sachs disease	
DB00119	SMP00045	Amino Sugar Metabolism	
DB00119	SMP00350	Pyruvate Carboxylase Deficiency	
DB00119	SMP00216	Sialuria or French Type Sialuria	
DB00119	SMP00357	Argininemia	
DB00119	SMP00559	Pyruvate kinase deficiency	
DB00119	SMP00009	Ammonia Recycling	
DB00119	SMP00060	Pyruvate Metabolism	
DB00119	SMP00212	Pyruvate Dehydrogenase Complex Deficiency	
DB00119	SMP00059	Urea Cycle	
DB00119	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB00119	SMP00196	Leigh Syndrome	
DB00119	SMP00003	Argininosuccinic Aciduria	
DB00119	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB00119	SMP00001	Citrullinemia Type I	
DB00119	SMP00558	Primary hyperoxaluria II, PH2	
DB00119	SMP00654	Warburg Effect	
DB00119	SMP00334	Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)	
DB00119	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB00119	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB00119	SMP00385	Homocarnosinosis	
DB00119	SMP00072	Glutamate Metabolism	
DB00119	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB00119	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB00119	SMP00244	Sarcosinemia	
DB00119	SMP00485	Hyperglycinemia, non-ketotic	
DB00119	SMP00004	Glycine and Serine Metabolism	
DB00119	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00119	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00119	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00119	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00119	SMP00223	Non Ketotic Hyperglycinemia	
DB00120	SMP00369	Tyrosinemia Type 2 (or Richner-Hanhart syndrome)	
DB00120	SMP00206	Phenylketonuria	
DB00120	SMP00370	Tyrosinemia Type 3 (TYRO3)	
DB00120	SMP00008	Phenylalanine and Tyrosine Metabolism	
DB00121	SMP00174	Biotinidase Deficiency	
DB00121	SMP00564	Multiple carboxylase deficiency, neonatal or early onset form	
DB00121	SMP00066	Biotin Metabolism	
DB00121	SMP00466	Transfer of Acetyl Groups into Mitochondria	
DB00121	SMP00452	Threonine and 2-Oxobutanoate Degradation	
DB00121	SMP00547	Fumarase deficiency	
DB00121	SMP00057	Citric Acid Cycle	
DB00121	SMP00548	Mitochondrial complex II deficiency	
DB00121	SMP00560	Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1)	
DB00121	SMP00574	Glycogenosis, Type IC	
DB00121	SMP00550	Pyruvate dehydrogenase deficiency (E3)	
DB00121	SMP00562	Fructose-1,6-diphosphatase deficiency	
DB00121	SMP00581	Glycogenosis, Type IA. Von gierke disease	
DB00121	SMP00128	Gluconeogenesis	
DB00121	SMP00549	2-ketoglutarate dehydrogenase complex deficiency	
DB00121	SMP00573	Glycogenosis, Type IB	
DB00121	SMP00374	Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease	
DB00121	SMP00546	Congenital lactic acidosis	
DB00121	SMP00551	Pyruvate dehydrogenase deficiency (E2)	
DB00121	SMP00563	Triosephosphate isomerase	
DB00121	SMP00137	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	
DB00121	SMP00139	3-Methylglutaconic Aciduria Type I	
DB00121	SMP00456	Fatty Acid Biosynthesis	
DB00121	SMP00236	Propionic Acidemia	
DB00121	SMP00140	3-Methylglutaconic Aciduria Type III	
DB00121	SMP00016	Propanoate Metabolism	
DB00121	SMP00198	Malonic Aciduria	
DB00121	SMP00141	3-Methylglutaconic Aciduria Type IV	
DB00121	SMP00502	Malonyl-coa decarboxylase deficiency	
DB00121	SMP00521	3-hydroxyisobutyric acid dehydrogenase deficiency	
DB00121	SMP00524	Isovaleric acidemia	
DB00121	SMP00352	Primary Hyperoxaluria Type I	
DB00121	SMP00199	Maple Syrup Urine Disease	
DB00121	SMP00200	Methylmalonic Aciduria	
DB00121	SMP00523	Isobutyryl-coa dehydrogenase deficiency	
DB00121	SMP00055	Alanine Metabolism	
DB00121	SMP00032	Valine, Leucine and Isoleucine Degradation	
DB00121	SMP00138	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	
DB00121	SMP00384	Methylmalonate Semialdehyde Dehydrogenase Deficiency	
DB00121	SMP00313	Lactic Acidemia	
DB00121	SMP00201	Methylmalonic Aciduria Due to Cobalamin-Related Disorders	
DB00121	SMP00522	3-hydroxyisobutyric aciduria	
DB00121	SMP00350	Pyruvate Carboxylase Deficiency	
DB00121	SMP00173	Beta-Ketothiolase Deficiency	
DB00121	SMP00237	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	
DB00121	SMP00238	Isovaleric Aciduria	
DB00121	SMP00559	Pyruvate kinase deficiency	
DB00121	SMP00009	Ammonia Recycling	
DB00121	SMP00060	Pyruvate Metabolism	
DB00121	SMP00212	Pyruvate Dehydrogenase Complex Deficiency	
DB00121	SMP00196	Leigh Syndrome	
DB00121	SMP00558	Primary hyperoxaluria II, PH2	
DB00121	SMP00654	Warburg Effect	
DB00121	SMP00334	Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)	
DB00121	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB00121	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB00121	SMP00385	Homocarnosinosis	
DB00121	SMP00072	Glutamate Metabolism	
DB00121	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB00121	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB00122	SMP00025	Phospholipid Biosynthesis	
DB00122	SMP00123	Betaine Metabolism	
DB00122	SMP00222	Glycine N-methyltransferase Deficiency	
DB00122	SMP00033	Methionine Metabolism	
DB00122	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB00122	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB00122	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00122	SMP00341	Hypermethioninemia	
DB00122	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB00122	SMP00221	Methionine Adenosyltransferase Deficiency	
DB00123	SMP00564	Multiple carboxylase deficiency, neonatal or early onset form	
DB00123	SMP00066	Biotin Metabolism	
DB00123	SMP00174	Biotinidase Deficiency	
DB00123	SMP00037	Lysine Degradation	
DB00123	SMP00719	2-aminoadipic 2-oxoadipic aciduria	
DB00123	SMP00527	Hyperlysinemia I, Familial	
DB00123	SMP00186	Glutaric Aciduria Type I	
DB00123	SMP00528	Hyperlysinemia II or Saccharopinuria	
DB00123	SMP00571	Pyridoxine dependency with seizures	
DB00123	SMP00239	Saccharopinuria/Hyperlysinemia II	
DB00123	SMP00465	Carnitine Synthesis	
DB00125	SMP00175	Canavan Disease	
DB00125	SMP00192	Hypoacetylaspartia	
DB00125	SMP00357	Argininemia	
DB00125	SMP00001	Citrullinemia Type I	
DB00125	SMP00067	Aspartate Metabolism	
DB00125	SMP00003	Argininosuccinic Aciduria	
DB00125	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB00125	SMP00059	Urea Cycle	
DB00125	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB00125	SMP00361	Hyperprolinemia Type I	
DB00125	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB00125	SMP00208	Prolinemia Type II	
DB00125	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB00125	SMP00507	L-arginine:glycine amidinotransferase deficiency	
DB00125	SMP00020	Arginine and Proline Metabolism	
DB00125	SMP00362	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	
DB00125	SMP00363	Ornithine Aminotransferase Deficiency (OAT Deficiency)	
DB00125	SMP00207	Prolidase Deficiency (PD)	
DB00125	SMP00188	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	
DB00125	SMP00506	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	
DB00125	SMP00360	Hyperprolinemia Type II	
DB00125	SMP00244	Sarcosinemia	
DB00125	SMP00485	Hyperglycinemia, non-ketotic	
DB00125	SMP00004	Glycine and Serine Metabolism	
DB00125	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00125	SMP00223	Non Ketotic Hyperglycinemia	
DB00125	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00125	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00125	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00126	SMP00012	Catecholamine Biosynthesis	
DB00126	SMP00497	Tyrosine hydroxylase deficiency	
DB00126	SMP00170	Aromatic L-Aminoacid Decarboxylase Deficiency	
DB00126	SMP00451	Refsum Disease	
DB00126	SMP00450	Phytanic Acid Peroxisomal Oxidation	
DB00126	SMP00465	Carnitine Synthesis	
DB00126	SMP00030	Oxidation of Branched Chain Fatty Acids	
DB00126	SMP00498	Dopamine beta-hydroxylase deficiency	
DB00126	SMP00218	Tyrosinemia Type I	
DB00126	SMP00494	Tyrosinemia, transient, of the newborn	
DB00126	SMP00169	Alkaptonuria	
DB00126	SMP00006	Tyrosine Metabolism	
DB00126	SMP00533	Monoamine oxidase-a deficiency (MAO-A)	
DB00126	SMP00190	Hawkinsinuria	
DB00126	SMP00429	Disulfiram Action Pathway	
DB00127	SMP00445	Spermidine and Spermine Biosynthesis	
