drugbank_id	interacting_drugbank_id	name	description
DB00014	DB06203	Alogliptin	
DB00014	DB08907	Canagliflozin	
DB00014	DB00672	Chlorpropamide	
DB00014	DB01120	Gliclazide	
DB00014	DB00222	Glimepiride	
DB00014	DB01251	Gliquidone	
DB00014	DB01016	Glyburide	
DB00014	DB01306	Insulin Aspart	
DB00014	DB01307	Insulin Detemir	
DB00014	DB00047	Insulin Glargine	
DB00014	DB01309	Insulin Glulisine	
DB00014	DB00046	Insulin Lispro	
DB00014	DB00030	Insulin Regular	
DB00014	DB08914	Insulin, isophane	
DB00014	DB08882	Linagliptin	
DB00014	DB00331	Metformin	
DB00014	DB00834	Mifepristone	
DB00014	DB00912	Repaglinide	
DB00014	DB06335	Saxagliptin	
DB00014	DB01124	Tolbutamide	
DB00014	DB04876	Vildagliptin	
DB00015	DB00054	Abciximab	
DB00015	DB01418	Acenocoumarol	
DB00015	DB00945	Acetylsalicylic acid	
DB00015	DB00233	Aminosalicylic Acid	
DB00015	DB00261	Anagrelide	
DB00015	DB06605	Apixaban	
DB00015	DB06692	Aprotinin	
DB00015	DB00278	Argatroban	
DB00015	DB01294	Bismuth Subsalicylate	
DB00015	DB00006	Bivalirudin	
DB00015	DB01166	Cilostazol	
DB00015	DB00215	Citalopram	
DB00015	DB04272	Citric Acid	
DB00015	DB00758	Clopidogrel	
DB00015	DB06695	Dabigatran etexilate	
DB00015	DB06779	Dalteparin	
DB00015	DB06754	Danaparoid	
DB00015	DB06700	Desvenlafaxine	
DB00015	DB00266	Dicoumarol	
DB00015	DB00861	Diflunisal	
DB00015	DB00975	Dipyridamole	
DB00015	DB00476	Duloxetine	
DB00015	DB00974	Edetic Acid	
DB00015	DB01225	Enoxaparin	
DB00015	DB01240	Epoprostenol	
DB00015	DB00063	Eptifibatide	
DB00015	DB01175	Escitalopram	
DB00015	DB08794	Ethyl biscoumacetate	
DB00015	DB00749	Etodolac	
DB00015	DB00573	Fenoprofen	
DB00015	DB08976	Floctafenine	
DB00015	DB00472	Fluoxetine	
DB00015	DB00176	Fluvoxamine	
DB00015	DB00569	Fondaparinux sodium	
DB00015	DB01109	Heparin	
DB00015	DB01050	Ibuprofen	
DB00015	DB01088	Iloprost	
DB00015	DB00328	Indomethacin	
DB00015	DB01009	Ketoprofen	
DB00015	DB00465	Ketorolac	
DB00015	DB08918	Levomilnacipran	
DB00015	DB01397	Magnesium salicylate	
DB00015	DB00784	Mefenamic acid	
DB00015	DB00814	Meloxicam	
DB00015	DB04896	Milnacipran	
DB00015	DB00461	Nabumetone	
DB00015	DB08813	Nadroparin	
DB00015	DB00788	Naproxen	
DB00015	DB00991	Oxaprozin	
DB00015	DB00715	Paroxetine	
DB00015	DB00498	Phenindione	
DB00015	DB00946	Phenprocoumon	
DB00015	DB00554	Piroxicam	
DB00015	DB06209	Prasugrel	
DB00015	DB06228	Rivaroxaban	
DB00015	DB01398	Salicylate-sodium	
DB00015	DB01399	Salsalate	
DB00015	DB01104	Sertraline	
DB00015	DB00605	Sulindac	
DB00015	DB06271	Sulodexide	
DB00015	DB01600	Tiaprofenic acid	
DB00015	DB08816	Ticagrelor	
DB00015	DB00208	Ticlopidine	
DB00015	DB06822	Tinzaparin	
DB00015	DB00775	Tirofiban	
DB00015	DB00500	Tolmetin	
DB00015	DB00374	Treprostinil	
DB00015	DB00285	Venlafaxine	
DB00015	DB06684	Vilazodone	
DB00015	DB09030	Vorapaxar	
DB00015	DB00682	Warfarin	
DB00016	DB00480	Lenalidomide	
DB00016	DB01041	Thalidomide	
DB00018	DB00041	Aldesleukin	
DB00018	DB00363	Clozapine	
DB00018	DB00333	Methadone	
DB00018	DB00811	Ribavirin	
DB00018	DB00495	Zidovudine	
DB00020	DB00290	Bleomycin	
DB00020	DB00531	Cyclophosphamide	
DB00021	DB08897	Aclidinium	
DB00021	DB00321	Amitriptyline	
DB00021	DB00543	Amoxapine	
DB00021	DB00572	Atropine	
DB00021	DB00972	Azelastine	
DB00021	DB00245	Benzatropine	
DB00021	DB00835	Brompheniramine	
DB00021	DB00748	Carbinoxamine	
DB00021	DB00341	Cetirizine	
DB00021	DB01114	Chlorphenamine	
DB00021	DB00477	Chlorpromazine	
DB00021	DB00283	Clemastine	
DB00021	DB00771	Clidinium	
DB00021	DB01242	Clomipramine	
DB00021	DB00363	Clozapine	
DB00021	DB01176	Cyclizine	
DB00021	DB00924	Cyclobenzaprine	
DB00021	DB00979	Cyclopentolate	
DB00021	DB00434	Cyproheptadine	
DB00021	DB00496	Darifenacin	
DB00021	DB01151	Desipramine	
DB00021	DB00967	Desloratadine	
DB00021	DB00405	Dexbrompheniramine	
DB00021	DB00804	Dicyclomine	
DB00021	DB01501	Difenoxin	
DB00021	DB00985	Dimenhydrinate	
DB00021	DB01081	Diphenoxylate	
DB00021	DB00280	Disopyramide	
DB00021	DB00366	Doxylamine	
DB00021	DB00450	Droperidol	
DB00021	DB01288	Fenoterol	
DB00021	DB06702	Fesoterodine	
DB00021	DB00950	Fexofenadine	
DB00021	DB01148	Flavoxate	
DB00021	DB00875	Flupentixol	
DB00021	DB00588	Fluticasone Propionate	
DB00021	DB00986	Glycopyrrolate	
DB00021	DB00502	Haloperidol	
DB00021	DB00557	Hydroxyzine	
DB00021	DB00424	Hyoscyamine	
DB00021	DB00458	Imipramine	
DB00021	DB00332	Ipratropium bromide	
DB00021	DB01247	Isocarboxazid	
DB00021	DB00920	Ketotifen	
DB00021	DB01106	Levocabastine	
DB00021	DB06282	Levocetirizine	
DB00021	DB00455	Loratadine	
DB00021	DB00408	Loxapine	
DB00021	DB00934	Maprotiline	
DB00021	DB00737	Meclizine	
DB00021	DB04843	Mepenzolate	
DB00021	DB01403	Methotrimeprazine	
DB00021	DB01171	Moclobemide	
DB00021	DB00540	Nortriptyline	
DB00021	DB00334	Olanzapine	
DB00021	DB00768	Olopatadine	
DB00021	DB01173	Orphenadrine	
DB00021	DB01062	Oxybutynin	
DB00021	DB00850	Perphenazine	
DB00021	DB00780	Phenelzine	
DB00021	DB01100	Pimozide	
DB00021	DB06153	Pizotifen	
DB00021	DB00433	Prochlorperazine	
DB00021	DB00387	Procyclidine	
DB00021	DB00420	Promazine	
DB00021	DB01069	Promethazine	
DB00021	DB00782	Propantheline	
DB00021	DB00344	Protriptyline	
DB00021	DB01224	Quetiapine	
DB00021	DB00734	Risperidone	
DB00021	DB01001	Salbutamol	
DB00021	DB00747	Scopolamine	
DB00021	DB01591	Solifenacin	
DB00021	DB00679	Thioridazine	
DB00021	DB01623	Thiothixene	
DB00021	DB01409	Tiotropium	
DB00021	DB01036	Tolterodine	
DB00021	DB00752	Tranylcypromine	
DB00021	DB00831	Trifluoperazine	
DB00021	DB00376	Trihexyphenidyl	
DB00021	DB00726	Trimipramine	
DB00021	DB00427	Triprolidine	
DB00021	DB00209	Trospium	
DB00021	DB01624	Zuclopenthixol	
DB00022	DB01418	Acenocoumarol	
DB00022	DB00041	Aldesleukin	
DB00022	DB00969	Alosetron	
DB00022	DB01223	Aminophylline	
DB00022	DB00321	Amitriptyline	
DB00022	DB00543	Amoxapine	
DB00022	DB01238	Aripiprazole	
DB00022	DB06216	Asenapine	
DB00022	DB00289	Atomoxetine	
DB00022	DB00195	Betaxolol	
DB00022	DB01558	Bromazepam	
DB00022	DB00201	Caffeine	
DB00022	DB01197	Captopril	
DB00022	DB01136	Carvedilol	
DB00022	DB00608	Chloroquine	
DB00022	DB01114	Chlorphenamine	
DB00022	DB00477	Chlorpromazine	
DB00022	DB01242	Clomipramine	
DB00022	DB00363	Clozapine	
DB00022	DB00924	Cyclobenzaprine	
DB00022	DB00851	Dacarbazine	
DB00022	DB01151	Desipramine	
DB00022	DB00514	Dextromethorphan	
DB00022	DB01551	Dihydrocodeine	
DB00022	DB00476	Duloxetine	
DB00022	DB09039	Eliglustat	
DB00022	DB01195	Flecainide	
DB00022	DB00472	Fluoxetine	
DB00022	DB00499	Flutamide	
DB00022	DB00176	Fluvoxamine	
DB00022	DB00317	Gefitinib	
DB00022	DB00502	Haloperidol	
DB00022	DB04946	Iloperidone	
DB00022	DB00458	Imipramine	
DB00022	DB06706	Isometheptene	
DB00022	DB00934	Maprotiline	
DB00022	DB00333	Methadone	
DB00022	DB01577	Methamphetamine	
DB00022	DB00264	Metoprolol	
DB00022	DB00379	Mexiletine	
DB00022	DB00370	Mirtazapine	
DB00022	DB01149	Nefazodone	
DB00022	DB00540	Nortriptyline	
DB00022	DB00334	Olanzapine	
DB00022	DB00715	Paroxetine	
DB00022	DB00850	Perphenazine	
DB00022	DB01100	Pimozide	
DB00022	DB01621	Pipotiazine	
DB00022	DB08910	Pomalidomide	
DB00022	DB01087	Primaquine	
DB00022	DB01035	Procainamide	
DB00022	DB00721	Procaine	
DB00022	DB00420	Promazine	
DB00022	DB01069	Promethazine	
DB00022	DB00571	Propranolol	
DB00022	DB00344	Protriptyline	
DB00022	DB00980	Ramelteon	
DB00022	DB01367	Rasagiline	
DB00022	DB00811	Ribavirin	
DB00022	DB00734	Risperidone	
DB00022	DB00268	Ropinirole	
DB00022	DB00296	Ropivacaine	
DB00022	DB00675	Tamoxifen	
DB00022	DB01265	Telbivudine	
DB00022	DB04844	Tetrabenazine	
DB00022	DB00277	Theophylline	
DB00022	DB00679	Thioridazine	
DB00022	DB01623	Thiothixene	
DB00022	DB00373	Timolol	
DB00022	DB00697	Tizanidine	
DB00022	DB01036	Tolterodine	
DB00022	DB00831	Trifluoperazine	
DB00022	DB00726	Trimipramine	
DB00022	DB00285	Venlafaxine	
DB00022	DB00495	Zidovudine	
DB00022	DB01624	Zuclopenthixol	
DB00026	DB01281	Abatacept	
DB00026	DB00051	Adalimumab	
DB00026	DB06168	Canakinumab	
DB00026	DB08904	Certolizumab pegol	
DB00026	DB06643	Denosumab	
DB00026	DB00005	Etanercept	
DB00026	DB06674	golimumab	
DB00026	DB00065	Infliximab	
DB00026	DB01097	Leflunomide	
DB00026	DB00480	Lenalidomide	
DB00026	DB00108	Natalizumab	
DB00026	DB00337	Pimecrolimus	
DB00026	DB08910	Pomalidomide	
DB00026	DB01656	Roflumilast	
DB00026	DB06688	Sipuleucel-T	
DB00026	DB01041	Thalidomide	
DB00026	DB08895	Tofacitinib	
DB00026	DB00072	Trastuzumab	
DB00029	DB00054	Abciximab	
DB00029	DB01418	Acenocoumarol	
DB00029	DB00945	Acetylsalicylic acid	
DB00029	DB00233	Aminosalicylic Acid	
DB00029	DB00261	Anagrelide	
DB00029	DB06605	Apixaban	
DB00029	DB06692	Aprotinin	
DB00029	DB00278	Argatroban	
DB00029	DB01294	Bismuth Subsalicylate	
DB00029	DB00006	Bivalirudin	
DB00029	DB01166	Cilostazol	
DB00029	DB00215	Citalopram	
DB00029	DB00758	Clopidogrel	
DB00029	DB06695	Dabigatran etexilate	
DB00029	DB06779	Dalteparin	
DB00029	DB06754	Danaparoid	
DB00029	DB06700	Desvenlafaxine	
DB00029	DB00861	Diflunisal	
DB00029	DB00975	Dipyridamole	
DB00029	DB00476	Duloxetine	
DB00029	DB01225	Enoxaparin	
DB00029	DB01240	Epoprostenol	
DB00029	DB00063	Eptifibatide	
DB00029	DB01175	Escitalopram	
DB00029	DB00749	Etodolac	
DB00029	DB00573	Fenoprofen	
DB00029	DB08976	Floctafenine	
DB00029	DB00472	Fluoxetine	
DB00029	DB00176	Fluvoxamine	
DB00029	DB00569	Fondaparinux sodium	
DB00029	DB01109	Heparin	
DB00029	DB01050	Ibuprofen	
DB00029	DB01088	Iloprost	
DB00029	DB00328	Indomethacin	
DB00029	DB01009	Ketoprofen	
DB00029	DB00465	Ketorolac	
DB00029	DB08918	Levomilnacipran	
DB00029	DB01397	Magnesium salicylate	
DB00029	DB00784	Mefenamic acid	
DB00029	DB00814	Meloxicam	
DB00029	DB04896	Milnacipran	
DB00029	DB00461	Nabumetone	
DB00029	DB08813	Nadroparin	
DB00029	DB00788	Naproxen	
DB00029	DB00991	Oxaprozin	
DB00029	DB00715	Paroxetine	
DB00029	DB00554	Piroxicam	
DB00029	DB06209	Prasugrel	
DB00029	DB06228	Rivaroxaban	
DB00029	DB01399	Salsalate	
DB00029	DB01104	Sertraline	
DB00029	DB00605	Sulindac	
DB00029	DB01600	Tiaprofenic acid	
DB00029	DB08816	Ticagrelor	
DB00029	DB00208	Ticlopidine	
DB00029	DB06822	Tinzaparin	
DB00029	DB00775	Tirofiban	
DB00029	DB00500	Tolmetin	
DB00029	DB00374	Treprostinil	
DB00029	DB00285	Venlafaxine	
DB00029	DB06684	Vilazodone	
DB00029	DB09030	Vorapaxar	
DB00030	DB00414	Acetohexamide	
DB00030	DB00945	Acetylsalicylic acid	
DB00030	DB06203	Alogliptin	
DB00030	DB01238	Aripiprazole	
DB00030	DB01169	Arsenic trioxide	
DB00030	DB09009	Articaine	
DB00030	DB06216	Asenapine	
DB00030	DB01072	Atazanavir	
DB00030	DB08822	Azilsartan medoxomil	
DB00030	DB00436	Bendroflumethiazide	
DB00030	DB04830	Buformin	
DB00030	DB00887	Bumetanide	
DB00030	DB06719	Buserelin	
DB00030	DB08907	Canagliflozin	
DB00030	DB00880	Chlorothiazide	
DB00030	DB00672	Chlorpropamide	
DB00030	DB00310	Chlorthalidone	
DB00030	DB00363	Clozapine	
DB00030	DB01285	Corticotropin	
DB00030	DB01380	Cortisone acetate	
DB00030	DB04839	Cyproterone acetate	
DB00030	DB08912	Dabrafenib	
DB00030	DB01406	Danazol	
DB00030	DB01264	Darunavir	
DB00030	DB00304	Desogestrel	
DB00030	DB01119	Diazoxide	
DB00030	DB02901	Dihydrotestosterone	
DB00030	DB00280	Disopyramide	
DB00030	DB01395	Drospirenone	
DB00030	DB04574	Estropipate	
DB00030	DB00903	Ethacrynic acid	
DB00030	DB00977	Ethinyl Estradiol	
DB00030	DB00823	Ethynodiol	
DB00030	DB00294	Etonogestrel	
DB00030	DB01590	Everolimus	
DB00030	DB01276	Exenatide	
DB00030	DB00687	Fludrocortisone	
DB00030	DB01319	Fosamprenavir	
DB00030	DB00695	Furosemide	
DB00030	DB01120	Gliclazide	
DB00030	DB00222	Glimepiride	
DB00030	DB01067	Glipizide	
DB00030	DB01251	Gliquidone	
DB00030	DB00040	Glucagon recombinant	
DB00030	DB01016	Glyburide	
DB00030	DB00014	Goserelin	
DB00030	DB06788	Histrelin	
DB00030	DB04865	Homoharringtonine	
DB00030	DB00999	Hydrochlorothiazide	
DB00030	DB04946	Iloperidone	
DB00030	DB00808	Indapamide	
DB00030	DB00224	Indinavir	
DB00030	DB05278	inhaled insulin	
DB00030	DB01306	Insulin Aspart	
DB00030	DB01307	Insulin Detemir	
DB00030	DB00047	Insulin Glargine	
DB00030	DB01309	Insulin Glulisine	
DB00030	DB00046	Insulin Lispro	
DB00030	DB08914	Insulin, isophane	
DB00030	DB00071	Insulin, porcine	
DB00030	DB06791	Lanreotide	
DB00030	DB00007	Leuprolide	
DB00030	DB00367	Levonorgestrel	
DB00030	DB08882	Linagliptin	
DB00030	DB06655	Liraglutide	
DB00030	DB01601	Lopinavir	
DB00030	DB08815	Lurasidone	
DB00030	DB01277	Mecasermin	
DB00030	DB00603	Medroxyprogesterone Acetate	
DB00030	DB00351	Megestrol acetate	
DB00030	DB01357	Mestranol	
DB00030	DB00331	Metformin	
DB00030	DB01403	Methotrimeprazine	
DB00030	DB00232	Methyclothiazide	
DB00030	DB00959	Methylprednisolone	
DB00030	DB00524	Metolazone	
DB00030	DB09046	Metreleptin	
DB00030	DB00834	Mifepristone	
DB00030	DB01252	Mitiglinide	
DB00030	DB00731	Nateglinide	
DB00030	DB00220	Nelfinavir	
DB00030	DB04868	Nilotinib	
DB00030	DB06713	Norelgestromin	
DB00030	DB00717	Norethindrone	
DB00030	DB00957	Norgestimate	
DB00030	DB00104	Octreotide	
DB00030	DB00334	Olanzapine	
DB00030	DB00621	Oxandrolone	
DB00030	DB01267	Paliperidone	
DB00030	DB06663	Pasireotide	
DB00030	DB00082	Pegvisomant	
DB00030	DB00738	Pentamidine	
DB00030	DB00914	Phenformin	
DB00030	DB01132	Pioglitazone	
DB00030	DB00592	Piperazine	
DB00030	DB01621	Pipotiazine	
DB00030	DB01278	Pramlintide	
DB00030	DB00635	Prednisone	
DB00030	DB00396	Progesterone	
DB00030	DB01224	Quetiapine	
DB00030	DB00468	Quinine	
DB00030	DB00912	Repaglinide	
DB00030	DB00734	Risperidone	
DB00030	DB00503	Ritonavir	
DB00030	DB00412	Rosiglitazone	
DB00030	DB01398	Salicylate-sodium	
DB00030	DB01232	Saquinavir	
DB00030	DB06335	Saxagliptin	
DB00030	DB00877	Sirolimus	
DB00030	DB00359	Sulfadiazine	
DB00030	DB01015	Sulfamethoxazole	
DB00030	DB00263	Sulfisoxazole	
DB00030	DB06271	Sulodexide	
DB00030	DB01268	Sunitinib	
DB00030	DB06287	Temsirolimus	
DB00030	DB00624	Testosterone	
DB00030	DB00932	Tipranavir	
DB00030	DB00839	Tolazamide	
DB00030	DB01124	Tolbutamide	
DB00030	DB00214	Torasemide	
DB00030	DB06825	Triptorelin	
DB00030	DB04876	Vildagliptin	
DB00030	DB02546	Vorinostat	
DB00030	DB00246	Ziprasidone	
DB00031	DB00054	Abciximab	
DB00031	DB01418	Acenocoumarol	
DB00031	DB00945	Acetylsalicylic acid	
DB00031	DB00233	Aminosalicylic Acid	
DB00031	DB00261	Anagrelide	
DB00031	DB06605	Apixaban	
DB00031	DB06692	Aprotinin	
DB00031	DB00278	Argatroban	
DB00031	DB01294	Bismuth Subsalicylate	
DB00031	DB00006	Bivalirudin	
DB00031	DB01166	Cilostazol	
DB00031	DB00215	Citalopram	
DB00031	DB04272	Citric Acid	
DB00031	DB00758	Clopidogrel	
DB00031	DB06695	Dabigatran etexilate	
DB00031	DB06779	Dalteparin	
DB00031	DB06754	Danaparoid	
DB00031	DB06700	Desvenlafaxine	
DB00031	DB00266	Dicoumarol	
DB00031	DB00861	Diflunisal	
DB00031	DB00975	Dipyridamole	
DB00031	DB00476	Duloxetine	
DB00031	DB00974	Edetic Acid	
DB00031	DB01225	Enoxaparin	
DB00031	DB01240	Epoprostenol	
DB00031	DB00063	Eptifibatide	
DB00031	DB01175	Escitalopram	
DB00031	DB08794	Ethyl biscoumacetate	
DB00031	DB00749	Etodolac	
DB00031	DB00573	Fenoprofen	
DB00031	DB08976	Floctafenine	
DB00031	DB00472	Fluoxetine	
DB00031	DB00176	Fluvoxamine	
DB00031	DB00569	Fondaparinux sodium	
DB00031	DB01109	Heparin	
DB00031	DB01050	Ibuprofen	
DB00031	DB01088	Iloprost	
DB00031	DB00328	Indomethacin	
DB00031	DB01009	Ketoprofen	
DB00031	DB00465	Ketorolac	
DB00031	DB08918	Levomilnacipran	
DB00031	DB01397	Magnesium salicylate	
DB00031	DB00784	Mefenamic acid	
DB00031	DB00814	Meloxicam	
DB00031	DB04896	Milnacipran	
DB00031	DB00461	Nabumetone	
DB00031	DB08813	Nadroparin	
DB00031	DB00788	Naproxen	
DB00031	DB00991	Oxaprozin	
DB00031	DB00715	Paroxetine	
DB00031	DB00498	Phenindione	
DB00031	DB00946	Phenprocoumon	
DB00031	DB00554	Piroxicam	
DB00031	DB06209	Prasugrel	
DB00031	DB06228	Rivaroxaban	
DB00031	DB01398	Salicylate-sodium	
DB00031	DB01399	Salsalate	
DB00031	DB01104	Sertraline	
DB00031	DB00605	Sulindac	
